,Year,State,Population
7412,2009,ILLINOIS,"8,000"
7413,2009,INDIANA,"9,000"
7414,2009,IOWA,"26,000"
7415,2009,KANSAS,"9,000"
7416,2009,KENTUCKY,"5,000"
7417,2009,LOUISIANA,"37,000"
7418,2009,MAINE,"6,000"
7419,2009,MICHIGAN,"66,000"
7420,2009,MINNESOTA,"122,000"
7421,2009,MISSISSIPPI,"14,000"
7422,2009,MISSOURI,"11,000"
7423,2009,MONTANA,"146,000"
7424,2009,NEBRASKA,"48,000"
7425,2009,NEW JERSEY,"11,000"
7426,2009,NEW MEXICO,"7,000"
7427,2009,NEW YORK,"45,000"
7428,2009,NORTH CAROLINA,"11,000"
7429,2009,NORTH DAKOTA,"450,000"
7430,2009,OHIO,"11,000"
7431,2009,OREGON,"55,000"
7432,2009,OTHER STATES,"26,000"
7433,2009,PENNSYLVANIA,"21,000"
7434,2009,SOUTH DAKOTA,"270,000"
7435,2009,TENNESSEE,"7,000"
7436,2009,TEXAS,"89,000"
7437,2009,UTAH,"26,000"
7438,2009,VERMONT,"5,000"
7439,2009,VIRGINIA,"6,000"
7440,2009,WASHINGTON,"62,000"
7441,2009,WEST VIRGINIA,"5,000"
7442,2009,WISCONSIN,"63,000"
7443,2009,WYOMING,"37,000"
7444,2008,ALABAMA,"9,000"
7445,2008,ARIZONA,"25,000"
7446,2008,ARKANSAS,"28,000"
7447,2008,CALIFORNIA,"360,000"
7448,2008,COLORADO,"27,000"
7449,2008,FLORIDA,"150,000"
7450,2008,GEORGIA,"65,000"
7451,2008,HAWAII,"10,000"
7452,2008,IDAHO,"90,000"
7453,2008,ILLINOIS,"8,000"
7454,2008,INDIANA,"7,000"
7455,2008,IOWA,"24,000"
7456,2008,KANSAS,"10,000"
7457,2008,KENTUCKY,"4,000"
7458,2008,LOUISIANA,"40,000"
7459,2008,MAINE,"7,000"
7460,2008,MICHIGAN,"71,000"
7461,2008,MINNESOTA,"122,000"
7462,2008,MISSISSIPPI,"14,000"
7463,2008,MISSOURI,"11,000"
7464,2008,MONTANA,"134,000"
7465,2008,NEBRASKA,"36,000"
7466,2008,NEVADA,"10,000"
7467,2008,NEW JERSEY,"9,000"
7468,2008,NEW MEXICO,"6,000"
7469,2008,NEW YORK,"50,000"
7470,2008,NORTH CAROLINA,"12,000"
7471,2008,NORTH DAKOTA,"400,000"
7472,2008,OHIO,"14,000"
7473,2008,OREGON,"50,000"
7474,2008,OTHER STATES,"16,000"
7475,2008,PENNSYLVANIA,"23,000"
7476,2008,SOUTH DAKOTA,"225,000"
7477,2008,TENNESSEE,"7,000"
7478,2008,TEXAS,"77,000"
7479,2008,UTAH,"28,000"
7480,2008,VERMONT,"5,000"
7481,2008,VIRGINIA,"6,000"
7482,2008,WASHINGTON,"49,000"
7483,2008,WEST VIRGINIA,"6,000"
7484,2008,WISCONSIN,"58,000"
7485,2008,WYOMING,"39,000"
7486,2007,ALABAMA,"11,000"
7487,2007,ARIZONA,"30,000"
7488,2007,ARKANSAS,"28,000"
7489,2007,CALIFORNIA,"340,000"
7490,2007,COLORADO,"31,000"
7491,2007,FLORIDA,"160,000"
7492,2007,GEORGIA,"60,000"
7493,2007,HAWAII,"10,000"
7494,2007,IDAHO,"92,000"
7495,2007,ILLINOIS,"9,000"
7496,2007,INDIANA,"8,000"
7497,2007,IOWA,"26,000"
7498,2007,KANSAS,"14,000"
7499,2007,KENTUCKY,"4,000"
7500,2007,LOUISIANA,"29,000"
7501,2007,MAINE,"9,000"
7502,2007,MICHIGAN,"72,000"
7503,2007,MINNESOTA,"130,000"
7504,2007,MISSISSIPPI,"15,000"
7505,2007,MISSOURI,"14,000"
7506,2007,MONTANA,"135,000"
7507,2007,NEBRASKA,"45,000"
7508,2007,NEVADA,"10,000"
7509,2007,NEW JERSEY,"9,000"
7510,2007,NEW MEXICO,"6,000"
7511,2007,NEW YORK,"53,000"
7512,2007,NORTH CAROLINA,"12,000"
7513,2007,NORTH DAKOTA,"420,000"
7514,2007,OHIO,"14,000"
7515,2007,OREGON,"46,000"
7516,2007,OTHER STATES,"15,000"
7517,2007,PENNSYLVANIA,"25,000"
7518,2007,SOUTH DAKOTA,"255,000"
7519,2007,TENNESSEE,"7,000"
7520,2007,TEXAS,"105,000"
7521,2007,UTAH,"28,000"
7522,2007,VERMONT,"5,000"
7523,2007,VIRGINIA,"6,000"
7524,2007,WASHINGTON,"46,000"
7525,2007,WEST VIRGINIA,"6,000"
7526,2007,WISCONSIN,"60,000"
7527,2007,WYOMING,"43,000"
7528,2006,ALABAMA,"11,000"
7529,2006,ARIZONA,"30,000"
7530,2006,ARKANSAS,"32,000"
7531,2006,CALIFORNIA,"380,000"
7532,2006,COLORADO,"36,000"
7533,2006,FLORIDA,"170,000"
7534,2006,GEORGIA,"63,000"
7535,2006,HAWAII,"10,000"
7536,2006,IDAHO,"95,000"
7537,2006,ILLINOIS,"10,000"
7538,2006,INDIANA,"7,000"
7539,2006,IOWA,"26,000"
7540,2006,KANSAS,"14,000"
7541,2006,KENTUCKY,"5,000"
7542,2006,LOUISIANA,"30,000"
7543,2006,MAINE,"11,000"
7544,2006,MICHIGAN,"72,000"
7545,2006,MINNESOTA,"125,000"
7546,2006,MISSISSIPPI,"14,000"
7547,2006,MISSOURI,"15,000"
7548,2006,MONTANA,"132,000"
7549,2006,NEBRASKA,"47,000"
7550,2006,NEVADA,"9,000"
7551,2006,NEW JERSEY,"9,000"
7552,2006,NEW MEXICO,"7,000"
7553,2006,NEW YORK,"58,000"
7554,2006,NORTH CAROLINA,"10,000"
7555,2006,NORTH DAKOTA,"350,000"
7556,2006,OHIO,"14,000"
7557,2006,OREGON,"46,000"
7558,2006,OTHER STATES,"16,000"
7559,2006,PENNSYLVANIA,"28,000"
7560,2006,SOUTH DAKOTA,"225,000"
7561,2006,TENNESSEE,"7,000"
7562,2006,TEXAS,"82,000"
7563,2006,UTAH,"26,000"
7564,2006,VERMONT,"6,000"
7565,2006,VIRGINIA,"8,000"
7566,2006,WASHINGTON,"49,000"
7567,2006,WEST VIRGINIA,"6,000"
7568,2006,WISCONSIN,"64,000"
7569,2006,WYOMING,"39,000"
7570,2005,ALABAMA,"13,000"
7571,2005,ARIZONA,"36,000"
7572,2005,ARKANSAS,"36,000"
7573,2005,CALIFORNIA,"400,000"
7574,2005,COLORADO,"28,000"
7575,2005,FLORIDA,"160,000"
7576,2005,GEORGIA,"59,000"
7577,2005,HAWAII,"9,000"
7578,2005,IDAHO,"95,000"
7579,2005,ILLINOIS,"8,000"
7580,2005,INDIANA,"8,000"
7581,2005,IOWA,"28,000"
7582,2005,KANSAS,"16,000"
7583,2005,KENTUCKY,"5,000"
7584,2005,LOUISIANA,"35,000"
7585,2005,MAINE,"8,000"
7586,2005,MICHIGAN,"65,000"
7587,2005,MINNESOTA,"120,000"
7588,2005,MISSISSIPPI,"16,000"
7589,2005,MISSOURI,"15,000"
7590,2005,MONTANA,"130,000"
7591,2005,NEBRASKA,"40,000"
7592,2005,NEVADA,"12,000"
7593,2005,NEW JERSEY,"12,000"
7594,2005,NEW MEXICO,"7,000"
7595,2005,NEW YORK,"59,000"
7596,2005,NORTH CAROLINA,"10,000"
7597,2005,NORTH DAKOTA,"370,000"
7598,2005,OHIO,"15,000"
7599,2005,OREGON,"39,000"
7600,2005,OTHER STATES,"15,000"
7601,2005,PENNSYLVANIA,"28,000"
7602,2005,SOUTH DAKOTA,"220,000"
7603,2005,TENNESSEE,"7,000"
7604,2005,TEXAS,"84,000"
7605,2005,UTAH,"24,000"
7606,2005,VERMONT,"6,000"
7607,2005,VIRGINIA,"8,000"
7608,2005,WASHINGTON,"51,000"
7609,2005,WEST VIRGINIA,"8,000"
7610,2005,WISCONSIN,"64,000"
7611,2005,WYOMING,"40,000"
7612,2004,ALABAMA,"12,000"
7613,2004,ARIZONA,"32,000"
7614,2004,ARKANSAS,"40,000"
7615,2004,CALIFORNIA,"390,000"
7616,2004,COLORADO,"23,000"
7617,2004,FLORIDA,"205,000"
7618,2004,GEORGIA,"63,000"
7619,2004,HAWAII,"8,000"
7620,2004,IDAHO,"100,000"
7621,2004,ILLINOIS,"7,000"
7622,2004,INDIANA,"7,000"
7623,2004,IOWA,"35,000"
7624,2004,KANSAS,"14,000"
7625,2004,KENTUCKY,"5,000"
7626,2004,LOUISIANA,"35,000"
7627,2004,MAINE,"7,000"
7628,2004,MICHIGAN,"65,000"
7629,2004,MINNESOTA,"135,000"
7630,2004,MISSISSIPPI,"18,000"
7631,2004,MISSOURI,"16,000"
7632,2004,MONTANA,"140,000"
7633,2004,NEBRASKA,"51,000"
7634,2004,NEVADA,"14,000"
7635,2004,NEW JERSEY,"12,000"
7636,2004,NEW MEXICO,"8,000"
7637,2004,NEW YORK,"64,000"
7638,2004,NORTH CAROLINA,"9,000"
7639,2004,NORTH DAKOTA,"390,000"
7640,2004,OHIO,"16,000"
7641,2004,OREGON,"42,000"
7642,2004,OTHER STATES,"15,000"
7643,2004,PENNSYLVANIA,"30,000"
7644,2004,SOUTH DAKOTA,"215,000"
7645,2004,TENNESSEE,"6,000"
7646,2004,TEXAS,"116,000"
7647,2004,UTAH,"24,000"
7648,2004,VERMONT,"6,000"
7649,2004,VIRGINIA,"7,000"
7650,2004,WASHINGTON,"56,000"
7651,2004,WEST VIRGINIA,"9,000"
7652,2004,WISCONSIN,"68,000"
7653,2004,WYOMING,"39,000"
7654,2003,ALABAMA,"13,000"
7655,2003,ARIZONA,"35,000"
7656,2003,ARKANSAS,"40,000"
7657,2003,CALIFORNIA,"480,000"
7658,2003,COLORADO,"24,000"
7659,2003,FLORIDA,"210,000"
7660,2003,GEORGIA,"52,000"
7661,2003,HAWAII,"7,000"
7662,2003,IDAHO,"100,000"
7663,2003,ILLINOIS,"7,000"
7664,2003,INDIANA,"5,000"
7665,2003,IOWA,"32,000"
7666,2003,KANSAS,"16,000"
7667,2003,KENTUCKY,"5,000"
7668,2003,LOUISIANA,"34,000"
7669,2003,MAINE,"8,000"
7670,2003,MARYLAND,"2,000"
7671,2003,MICHIGAN,"65,000"
7672,2003,MINNESOTA,"120,000"
7673,2003,MISSISSIPPI,"21,000"
7674,2003,MISSOURI,"17,000"
7675,2003,MONTANA,"145,000"
7676,2003,NEBRASKA,"45,000"
7677,2003,NEVADA,"6,000"
7678,2003,NEW JERSEY,"10,000"
7679,2003,NEW MEXICO,"6,000"
7680,2003,NEW YORK,"67,000"
7681,2003,NORTH CAROLINA,"10,000"
7682,2003,NORTH DAKOTA,"340,000"
7683,2003,OHIO,"15,000"
7684,2003,OKLAHOMA,"3,000"
7685,2003,OREGON,"42,000"
7686,2003,OTHER STATES,"8,000"
7687,2003,PENNSYLVANIA,"27,000"
7688,2003,SOUTH CAROLINA,"4,000"
7689,2003,SOUTH DAKOTA,"215,000"
7690,2003,TENNESSEE,"6,000"
7691,2003,TEXAS,"140,000"
7692,2003,UTAH,"25,000"
7693,2003,VERMONT,"7,000"
7694,2003,VIRGINIA,"6,000"
7695,2003,WASHINGTON,"58,000"
7696,2003,WEST VIRGINIA,"8,000"
7697,2003,WISCONSIN,"74,000"
7698,2003,WYOMING,"39,000"
7699,2002,ALABAMA,"12,000"
7700,2002,ARIZONA,"38,000"
7701,2002,ARKANSAS,"45,000"
7702,2002,CALIFORNIA,"470,000"
7703,2002,COLORADO,"24,000"
7704,2002,FLORIDA,"220,000"
7705,2002,GEORGIA,"50,000"
7706,2002,HAWAII,"7,000"
7707,2002,IDAHO,"100,000"
7708,2002,ILLINOIS,"9,000"
7709,2002,INDIANA,"8,000"
7710,2002,IOWA,"33,000"
7711,2002,KANSAS,"17,000"
7712,2002,KENTUCKY,"5,000"
7713,2002,LOUISIANA,"35,000"
7714,2002,MAINE,"11,000"
7715,2002,MARYLAND,"3,000"
7716,2002,MICHIGAN,"72,000"
7717,2002,MINNESOTA,"117,000"
7718,2002,MISSISSIPPI,"18,000"
7719,2002,MISSOURI,"18,000"
7720,2002,MONTANA,"134,000"
7721,2002,NEBRASKA,"43,000"
7722,2002,NEVADA,"9,000"
7723,2002,NEW JERSEY,"11,000"
7724,2002,NEW MEXICO,"11,000"
7725,2002,NEW YORK,"60,000"
7726,2002,NORTH CAROLINA,"16,000"
7727,2002,NORTH DAKOTA,"320,000"
7728,2002,OHIO,"18,000"
7729,2002,OKLAHOMA,"3,000"
7730,2002,OREGON,"43,000"
7731,2002,OTHER STATES,"9,000"
7732,2002,PENNSYLVANIA,"29,000"
7733,2002,SOUTH CAROLINA,"5,000"
7734,2002,SOUTH DAKOTA,"225,000"
7735,2002,TENNESSEE,"8,000"
7736,2002,TEXAS,"114,000"
7737,2002,UTAH,"22,000"
7738,2002,VERMONT,"7,000"
7739,2002,VIRGINIA,"8,000"
7740,2002,WASHINGTON,"50,000"
7741,2002,WEST VIRGINIA,"9,000"
7742,2002,WISCONSIN,"70,000"
7743,2002,WYOMING,"38,000"
7744,2001,ALABAMA,"14,000"
7745,2001,ARIZONA,"43,000"
7746,2001,ARKANSAS,"50,000"
7747,2001,CALIFORNIA,"460,000"
7748,2001,COLORADO,"26,000"
7749,2001,FLORIDA,"220,000"
